4	52
5	14 34 53
6	07 17 27 37 47 57
7	07 17 27 37 47 57
8	07 17 27 37 47 57
9	07 17 27 37 47 57
10	07 17 27 37 47 57
11	07 17 27 37 46 57
12	05 15 25 35 45 55
13	05 17 27 37 47 57
14	07 17 27 37 47
15	00 10 20 30 40 50
16	00 10 20 30 40 50
17	00 10 20 30 40 49 59
18	09 19 29 37 49 59
19	09 19 29 39 47 58
20	07 17 27 37 50
21	02 12 30 50
22	10 30 50
23	10
